chsta_codemo;chsta_module;chsta_qmna5;chsta_q2;chsta_q5;chsta_q10;chsta_q20;chsta_q30;chsta_q50;chsta_q100;chsta_q300
V2310200;;;;;;;;;;
V2322010;40.2;3.1;;;;;;;;
V2012010;9.38;1.4;110.0;140.0;;;0.0;;0.0;0.0
V2114010;3.14;0.079;37.0;46.0;52.0;58.0;;65.0;;
U2540520;0.529;0.035;10.0;15.0;18.0;22.0;;;;
V2414010;9.53;0.85;160.0;220.0;250.0;290.0;;330.0;;
V2414030;2.89;0.31;43.0;48.0;52.0;;;;;
V2444020;29.4;3.0;380.0;480.0;540.0;610.0;;690.0;;
U3415020;0.638;0.035;19.0;25.0;30.0;33.0;;39.0;;
U3415030;5.25;0.45;60.0;86.0;100.0;120.0;;140.0;;
U2565020;1.03;0.041;23.0;34.0;41.0;47.0;;56.0;;
U2655030;3.3;0.31;29.0;37.0;42.0;46.0;;52.0;;
U2655040;;;;;;;;;;
U2542010;107.0;15.0;760.0;970.0;1100.0;1300.0;;1400.0;;
U2552010;;;;;;;;;;
U2722010;174.0;23.0;1000.0;1300.0;1400.0;1600.0;;1800.0;;
U2635010;1.49;0.11;25.0;31.0;35.0;39.0;;43.0;;
U3446410;1.75;0.19;29.0;40.0;47.0;53.0;;62.0;;
V2206010;1.64;0.16;14.0;18.0;20.0;23.0;;26.0;;
V2035010;0.874;0.055;15.0;21.0;24.0;28.0;;33.0;;
U2640001;;;;;;;;;;
U2654020;50.6;2.3;440.0;560.0;640.0;710.0;;800.0;;
U2634010;52.7;8.5;420.0;510.0;580.0;630.0;;710.0;;
U1084010;33.4;3.8;210.0;270.0;320.0;350.0;;400.0;;
V2409010;0.528;0.064;2.6;3.4;3.9;4.4;;5.0;;
V2030410;8.08;0.69;100.0;120.0;140.0;150.0;;;;
V2024010;3.42;0.33;53.0;68.0;78.0;88.0;;100.0;;
U3404030;4.42;0.18;51.0;64.0;73.0;81.0;;92.0;;
V2814040;3.85;0.21;48.0;57.0;62.0;68.0;;75.0;;
V2420560;6.95;0.83;81.0;95.0;100.0;;;;;
U3455030;;0.32;39.0;45.0;48.0;52.0;;56.0;;
U3455010;0.692;0.048;15.0;20.0;24.0;27.0;;31.0;;
V1015010;2.21;0.22;24.0;32.0;37.0;41.0;;47.0;;